,num.clients,ca.inv.amt
Blue Ridge ,17,352
Lone Pine,23,150
Third Point,104,871
HHR,69,538
Viking,106,1417
Conatus,123,638
Hoplite,72,455
Brookside,70,486
Scout,130,787
Tiger Global,71,311
Tiger Consumer,56,462
Highline,93,604
Crestwood,30,115
Greenlight,71,311
Tremblant,27,24
North Run,81,462
Scopia,106,483
White Elm,39,183
Freshford,18,188
Dialectic,32,95
Southpoint,8,35
Sheffield,12,30
Valinor,154,995
Coatue,104,871
Brahman,17,352
Maverick,13,93
Force Capital,45,198
Glenview,23,100
Slate Path,2,15
Highfields,129,1200
