,Discovery,Conatus,ESG,Viking,White Elm
SNDK,1,0,0,0,0
EBAY,1,0,0,0,0
LVS,1,0,0,0,0
MU,1,0,0,0,0
DOW,1,0,0,0,0
NKE,1,0,0,0,0
GOOGL,1,0,0,0,0
MYL,1,0,0,0,0
V,1,0,0,0,0
BIDU,1,0,0,1,0
HUM,0,1,0,0,0
STZ,0,1,0,0,0
MON,0,1,0,0,0
TMO,0,1,0,1,0
ADBE,0,1,0,0,0
COO,0,1,0,0,0
PCLN,0,1,0,0,0
CTRP,0,1,0,0,0
GPOR,0,1,0,0,0
PVH,0,1,0,0,0
BUD,0,0,1,0,0
NUS,0,0,1,0,0
QIHU,0,0,1,0,0
FXI(CALL),0,0,1,0,0
VIPS,0,0,1,0,0
C,0,0,1,0,0
CFX,0,0,1,0,0
YUM,0,0,1,0,0
NOK,0,0,1,0,0
FDX,0,0,1,0,0
WAG,0,0,0,1,0
TWX,0,0,0,1,0
ILMN,0,0,0,1,0
VRX,0,0,0,1,0
FOXA,0,0,0,1,0
LYB,0,0,0,1,0
LOW,0,0,0,1,0
COF,0,0,0,1,0
OCN,0,0,0,0,1
ASPS,0,0,0,0,1
CHTR,0,0,0,0,1
CCI,0,0,0,0,1
AAMC,0,0,0,0,1
SBAC,0,0,0,0,1
FB,0,0,0,0,1
LBTYK,0,0,0,0,1
LINTA,0,0,0,0,1
CRI,0,0,0,0,1
