,Coatue,Force,Highline,Hoplite,Pershing Square,Royal,Sheffield,Standard Pacific,Tiger Consumer,Valinor,Viking
AIG ,1,0,0,0,0,1,0,1,0,1,0
CHTR ,1,1,0,1,0,0,1,0,0,0,0
DG ,0,0,0,1,0,0,1,0,1,0,1
KORS ,1,0,0,1,0,0,0,0,1,0,1
TWC ,1,0,1,0,0,0,1,0,0,0,1
BIIB ,0,0,0,1,0,1,0,0,0,0,1
BSX ,0,0,0,1,0,1,0,0,0,0,1
CX ,0,0,0,1,0,0,0,0,0,1,1
EQIX ,1,0,0,1,0,0,0,0,0,0,1
GOOG ,1,0,0,0,0,0,0,0,1,1,0
ISRG ,1,0,0,1,0,0,0,0,0,0,1
JCP ,0,1,0,0,1,0,0,0,1,0,0
LBTYK ,1,0,0,0,0,0,0,0,1,1,0
NWS ,1,0,1,0,0,0,0,0,0,0,1
PCLN ,1,0,0,0,0,0,0,0,1,0,1
RIIG IX,1,0,0,1,0,0,0,0,0,0,1
TWX ,1,0,0,1,0,0,0,0,0,0,1
UHS ,0,0,1,1,0,0,0,0,0,0,1
VRSK ,1,0,0,1,0,0,0,0,0,0,1
AAPL ,1,0,0,0,0,0,0,0,0,0,1
ADT ,1,0,0,0,0,0,0,0,0,1,0
ARO ,0,0,0,0,0,0,1,0,1,0,0
AZO ,0,0,0,1,0,0,0,1,0,0,0
CCI ,1,0,0,0,0,0,0,0,0,0,1
CRI ,0,0,0,1,0,0,0,0,0,0,1
DFS ,1,0,0,0,0,0,0,1,0,0,0
DHR ,0,0,0,1,0,0,0,0,0,0,1
EL ,0,0,0,1,0,0,0,0,0,0,1
EXPE ,0,0,1,0,0,0,0,0,1,0,0
GM ,0,1,0,0,0,0,0,1,0,0,0
