,Dorsal,Jericho,Samlyn,Tourbillon
FB,1,1,0,0
BD1NQJ9,0,0,1,1
CCI,1,1,0,0
CHTR,0,1,1,0
ZNGA,0,1,1,0
ETFC,0,0,1,1
NCR,0,0,1,1
OC,0,0,1,1
ADSK,1,0,1,0
DISH,0,0,1,1
GM,0,0,1,1
NRF,0,0,1,0
MCO,0,1,0,0
TMO,0,0,1,0
YHOO,0,1,0,0
EBAY,0,0,1,0
RLGY,0,0,1,0
CLGX,0,0,1,0
C,0,0,1,0
STZ,0,0,1,0
B4MWN57,0,1,0,0
KATE,0,0,1,0
LVS,0,1,0,0
A,0,0,1,0
LVNTA,0,0,1,0
MCK,0,0,1,0
ULTA,0,0,1,0
CMCSK,0,0,1,0
SBAC,0,1,0,0
CVS,0,0,1,0
MHFI,0,1,0,0
TSO,0,0,1,0
B1KYHF2,0,1,0,0
DHR,0,0,1,0
CI,0,0,1,0
CBS,0,0,1,0
PAY,0,1,0,0
TROW,0,0,1,0
AMZN,0,1,0,0
WYNN,0,1,0,0
ABBV,0,0,1,0
MET,0,0,1,0
TPX,0,0,1,0
AET,0,0,1,0
CYN,0,0,1,0
CCOI,0,1,0,0
B62S207,0,0,1,0
PBI,0,0,1,0
MRK,0,0,1,0
WHR,0,0,1,0
