,Discovery,Samlyn,Tybourne,White Elm
V,1,1,0,1
B8W67B1,1,1,0,1
EBAY,1,1,0,0
FB,1,0,0,1
PCLN,1,0,0,1
AMZN,1,0,1,0
GOOGL,1,0,1,0
C,1,1,0,0
TWC,1,1,0,0
MET,1,1,0,0
B7341C6,1,1,0,0
ABBV,1,1,0,0
TSO,1,1,0,0
CBS,0,1,1,0
HDS,1,1,0,0
ALL,1,1,0,0
YELP,1,0,1,0
ULTA,1,1,0,0
MA,0,0,1,1
FOXA,1,0,1,0
TPX,1,1,0,0
2367963,0,1,0,1
LINTA,0,1,0,1
TDG,0,1,0,1
BH5QGR0,1,0,1,0
CHTR,0,1,0,1
CRI,1,0,0,1
MPC,1,1,0,0
PVH,1,1,0,0
ZNGA,0,1,0,1
TUMI,1,0,1,0
VRSN,0,1,0,1
SEAS,1,1,0,0
LEAF,1,1,0,0
AR,1,1,0,0
B8W6766,1,0,0,1
BFWGXR8,1,1,0,0
AAPL,1,0,0,0
LVS,1,0,0,0
SNDK,1,0,0,0
5956078,1,0,0,0
MU,1,0,0,0
NKE,1,0,0,0
JPM,1,0,0,0
WYNN,1,0,0,0
TMUS,1,0,0,0
DIS,1,0,0,0
B0FXT17,1,0,0,0
OLED,1,0,0,0
FL,1,0,0,0
